                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0502,                0.91655,                  1.981,                0.93701,                0.72414,                0.86842,                0.60334,                 1.1954,                 1.1284,                 2.2378,              0.0010383,              0.0010383,              0.0010383
                     36,                 1.0641,                0.92732,                 2.0111,                0.89231,                0.68966,                0.86235,                 0.6069,                  1.087,                 1.1134,                 2.1158,                0.00101,                0.00101,                0.00101
                     37,                0.99881,                 0.8829,                 1.9221,                0.98599,                0.75862,                0.90372,                0.63393,                 1.0609,                0.99858,                 2.0295,             0.00098171,             0.00098171,             0.00098171
                     38,                 1.0582,                0.91387,                 2.0271,                0.86044,                0.85065,                0.91478,                0.67127,                 1.0476,                0.97441,                 1.9869,             0.00095343,             0.00095343,             0.00095343
                     39,                0.94195,                0.83756,                 2.0669,                 0.8317,                 0.7931,                0.89222,                0.65948,                 1.0293,                   1.02,                 1.9787,             0.00092514,             0.00092514,             0.00092514
                     40,                 1.0481,                0.85965,                 1.9843,                0.94444,                0.75862,                0.88295,                0.61942,                 1.1105,                 1.0703,                 2.0655,             0.00089686,             0.00089686,             0.00089686
                     41,                0.97709,                0.83904,                 1.9263,                0.91826,                0.82759,                0.88741,                0.60262,                 1.1578,                 1.1058,                 2.1794,             0.00086857,             0.00086857,             0.00086857
                     42,                0.92971,                0.80883,                 1.9542,                0.88866,                0.82573,                 0.8922,                0.65185,                 1.0364,                 1.0006,                  2.072,             0.00084029,             0.00084029,             0.00084029
                     43,                0.98505,                 0.7765,                 1.9412,                0.81541,                0.86207,                0.88739,                0.65115,                 1.0353,                0.97022,                 1.9621,               0.000812,               0.000812,               0.000812
                     44,                0.96752,                0.77898,                 1.8873,                0.83652,                0.86207,                0.89526,                0.64474,                 1.0187,                0.96531,                 1.8408,             0.00078371,             0.00078371,             0.00078371
                     45,                  1.002,                0.79439,                 2.0101,                0.77505,                0.83175,                0.87599,                0.64702,                0.99551,                0.98368,                 1.8285,             0.00075543,             0.00075543,             0.00075543
                     46,                 0.9758,                0.75674,                 1.9084,                0.90269,                0.65517,                0.84878,                0.63422,                 1.0399,                 1.0298,                 1.8536,             0.00072714,             0.00072714,             0.00072714
                     47,                0.96737,                0.84184,                 1.9114,                0.77032,                0.80984,                0.86373,                0.61975,                 1.0702,                0.98697,                  1.877,             0.00069886,             0.00069886,             0.00069886
                     48,                0.93524,                0.84246,                 1.8978,                0.88376,                0.82759,                0.89192,                0.64938,                 1.0682,                 0.9217,                 1.9189,             0.00067057,             0.00067057,             0.00067057
                     49,                0.86739,                0.78282,                 1.8521,                 0.9252,                0.85324,                0.89778,                0.67011,                 1.0913,                0.91143,                 1.9484,             0.00064229,             0.00064229,             0.00064229
                     50,                0.88112,                0.77911,                 1.8394,                0.88892,                 0.7931,                0.89712,                0.66529,                 1.1009,                0.98421,                 2.0056,               0.000614,               0.000614,               0.000614
                     51,                0.88278,                0.79308,                 1.9942,                0.90364,                0.82759,                0.89753,                0.66876,                 1.0476,                0.98337,                 2.0092,             0.00058571,             0.00058571,             0.00058571
                     52,                0.89796,                0.74589,                 2.0421,                 0.8919,                0.85374,                0.90221,                0.67026,                 1.0334,                0.90687,                 2.0121,             0.00055743,             0.00055743,             0.00055743
                     53,                0.86762,                0.74817,                 1.8116,                0.91618,                0.75397,                0.88988,                 0.6492,                 1.0301,                0.99951,                 1.9354,             0.00052914,             0.00052914,             0.00052914
                     54,                0.83774,                0.70531,                 1.8115,                0.79152,                0.86207,                0.89051,                0.66258,                0.96722,                0.97621,                 1.8519,             0.00050086,             0.00050086,             0.00050086
                     55,                0.93206,                0.75657,                 2.0323,                0.89493,                 0.8814,                0.91049,                0.68406,                0.95683,                0.95689,                 1.8616,             0.00047257,             0.00047257,             0.00047257
                     56,                0.86935,                0.67191,                  1.884,                0.88609,                0.89655,                0.91642,                0.69548,                0.94341,                0.93998,                 1.8601,             0.00044429,             0.00044429,             0.00044429
                     57,                0.80647,                0.68212,                 1.7151,                0.89707,                0.86207,                 0.9144,                0.70297,                0.92928,                0.93813,                 1.8415,               0.000416,               0.000416,               0.000416
