                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8244,                 1.0821,                 1.3559,                0.81425,                0.65528,                0.73255,                0.33236,                 1.9415,                 1.3729,                 1.7615,             0.00088899,             0.00088899,             0.00088899
                     35,                 1.7936,                 1.0941,                 1.3961,                0.76044,                0.68943,                0.73003,                0.36009,                 1.9439,                  1.331,                 1.7108,             0.00086541,             0.00086541,             0.00086541
                     36,                 1.8368,                 1.0634,                 1.3764,                0.78849,                0.63228,                0.68245,                0.34405,                 1.7964,                 1.3158,                 1.6047,             0.00084184,             0.00084184,             0.00084184
                     37,                 1.7982,                 1.0604,                 1.3603,                0.75204,                0.78416,                0.76345,                0.38082,                 1.7722,                 1.2851,                 1.6052,             0.00081826,             0.00081826,             0.00081826
                     38,                 1.7969,                 1.0534,                  1.358,                0.69495,                0.72696,                0.73033,                0.38453,                 1.7551,                 1.2645,                 1.5829,             0.00079468,             0.00079468,             0.00079468
                     39,                 1.8084,                 1.0324,                 1.3538,                0.86635,                 0.7371,                0.78329,                0.39694,                 1.7378,                 1.2633,                  1.589,             0.00077111,             0.00077111,             0.00077111
                     40,                 1.7719,                 1.0366,                 1.3196,                0.72329,                0.80684,                 0.7787,                0.37385,                 1.8966,                 1.2497,                 1.6631,             0.00074753,             0.00074753,             0.00074753
                     41,                   1.77,                 1.0532,                 1.3585,                0.81806,                0.76207,                0.81186,                0.40562,                 1.8567,                 1.1456,                  1.674,             0.00072395,             0.00072395,             0.00072395
                     42,                 1.7985,                  1.022,                 1.3637,                 0.8359,                0.76494,                0.83722,                0.39982,                 1.8723,                 1.1634,                 1.6345,             0.00070038,             0.00070038,             0.00070038
                     43,                 1.7876,                 1.0089,                 1.3401,                0.87641,                0.71894,                0.80391,                0.41134,                 1.8179,                 1.1961,                 1.5902,              0.0006768,              0.0006768,              0.0006768
                     44,                 1.7701,                0.99599,                 1.3249,                0.84854,                0.76242,                0.81091,                 0.3984,                 1.8422,                 1.1751,                 1.6401,             0.00065323,             0.00065323,             0.00065323
                     45,                 1.7481,                  1.018,                 1.3455,                0.83345,                0.74229,                0.80403,                0.40227,                 1.8193,                 1.1868,                 1.6104,             0.00062965,             0.00062965,             0.00062965
                     46,                 1.7369,                0.99301,                 1.3291,                0.76067,                 0.7165,                0.76962,                0.40903,                 1.7402,                 1.1826,                 1.5835,             0.00060607,             0.00060607,             0.00060607
                     47,                 1.7286,                0.96954,                 1.2909,                0.73869,                0.73819,                0.78975,                0.38477,                 1.8215,                  1.247,                 1.6372,              0.0005825,              0.0005825,              0.0005825
                     48,                 1.7337,                0.96786,                 1.3024,                0.74467,                0.66575,                0.77164,                0.37118,                 1.7957,                 1.2286,                 1.6144,             0.00055892,             0.00055892,             0.00055892
                     49,                 1.6889,                0.96242,                 1.3058,                0.69143,                0.82376,                0.78102,                0.39559,                 1.7801,                 1.1785,                 1.5874,             0.00053535,             0.00053535,             0.00053535
                     50,                 1.7014,                0.98246,                 1.3043,                0.81583,                0.76593,                0.84172,                0.40075,                 1.8163,                 1.1536,                 1.6264,             0.00051177,             0.00051177,             0.00051177
                     51,                 1.7393,                0.97136,                 1.3007,                0.82581,                0.77779,                0.82093,                0.38937,                 1.8449,                 1.1045,                 1.6713,             0.00048819,             0.00048819,             0.00048819
                     52,                 1.7351,                0.98017,                 1.3165,                0.85956,                 0.7663,                0.83935,                0.41076,                 1.8491,                 1.0885,                 1.6745,             0.00046462,             0.00046462,             0.00046462
                     53,                 1.7212,                0.97221,                 1.3145,                0.85208,                0.76526,                0.84672,                0.42001,                 1.8507,                 1.0908,                 1.6553,             0.00044104,             0.00044104,             0.00044104
                     54,                 1.7163,                0.96381,                 1.2963,                0.79675,                0.82518,                0.83601,                0.41762,                 1.8129,                 1.0546,                  1.635,             0.00041746,             0.00041746,             0.00041746
                     55,                 1.6919,                0.94582,                 1.3039,                0.81369,                0.80294,                0.86687,                0.41287,                 1.8084,                 1.0516,                 1.6193,             0.00039389,             0.00039389,             0.00039389
                     56,                 1.6897,                0.93772,                  1.288,                0.85292,                0.81536,                0.86296,                0.39439,                 1.8284,                 1.1247,                  1.643,             0.00037031,             0.00037031,             0.00037031
                     57,                  1.684,                0.92321,                 1.2674,                0.91733,                0.75234,                  0.838,                0.38263,                 1.8914,                 1.1726,                 1.6914,             0.00034674,             0.00034674,             0.00034674
                     58,                 1.6799,                0.94348,                 1.2909,                0.81225,                0.80978,                0.85003,                0.39779,                 1.7999,                 1.1029,                  1.628,             0.00032316,             0.00032316,             0.00032316
                     59,                 1.6751,                 0.9262,                 1.2717,                0.81892,                0.75928,                0.80676,                0.40145,                 1.7502,                  1.042,                 1.6186,             0.00029958,             0.00029958,             0.00029958
                     60,                 1.6807,                0.93548,                 1.2815,                0.83437,                0.74285,                0.80329,                0.40861,                 1.7753,                 1.0644,                 1.6321,             0.00027601,             0.00027601,             0.00027601
                     61,                 1.7077,                0.96167,                 1.3088,                0.80934,                0.72453,                0.79087,                 0.3917,                 1.8092,                 1.0866,                 1.6534,             0.00025243,             0.00025243,             0.00025243
                     62,                 1.7273,                0.96452,                 1.3284,                 0.8148,                0.78028,                0.80452,                0.40691,                 1.7739,                 1.0072,                 1.6368,             0.00022886,             0.00022886,             0.00022886
                     63,                 1.6789,                0.92351,                 1.3153,                0.81018,                0.84161,                0.82987,                0.42148,                 1.7275,                 1.0051,                 1.6055,             0.00020528,             0.00020528,             0.00020528
                     64,                 1.6706,                0.92624,                 1.2935,                0.86327,                0.78631,                 0.8379,                0.42417,                 1.7268,                0.98701,                 1.5762,              0.0001817,              0.0001817,              0.0001817
                     65,                 1.6701,                0.91383,                 1.2872,                0.88365,                0.80202,                0.83893,                0.41858,                 1.7488,                 1.0012,                 1.5877,             0.00015813,             0.00015813,             0.00015813
                     66,                 1.6738,                0.90099,                 1.2938,                0.83074,                 0.8455,                0.87012,                 0.4044,                 1.7721,                 1.0027,                 1.6141,             0.00013455,             0.00013455,             0.00013455
                     67,                 1.6526,                0.90147,                 1.3002,                0.85709,                0.83672,                0.88057,                0.41262,                 1.7642,                0.99609,                 1.6076,             0.00011097,             0.00011097,             0.00011097
                     68,                 1.6803,                0.90476,                 1.2928,                0.84199,                0.84205,                0.86644,                0.44069,                 1.7212,                0.98773,                 1.5888,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     69,                 1.6272,                 0.8854,                 1.2617,                0.85842,                0.84228,                0.85139,                0.43601,                 1.7176,                0.99315,                 1.5829,             6.3822e-05,             6.3822e-05,             6.3822e-05
                     70,                 1.6349,                 0.9072,                 1.2934,                0.85754,                0.84418,                0.85347,                0.44272,                 1.7011,                0.98904,                 1.5769,             4.0246e-05,             4.0246e-05,             4.0246e-05
