                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1482,                  1.007,                  2.119,                0.81728,                0.82353,                0.87536,                0.69874,                0.82578,                 0.8664,                 1.6483,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1591,                 1.0051,                 2.1553,                0.82333,                0.82249,                 0.8753,                0.68221,                0.82306,                0.80577,                 1.6234,               0.001307,               0.001307,               0.001307
                     37,                 1.0608,                0.94427,                 2.0828,                0.80854,                0.99393,                0.90903,                0.73162,                0.87866,                0.83199,                 1.7368,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0975,                0.94024,                 2.0534,                0.80329,                0.88235,                0.87698,                0.70082,                0.82855,                0.80876,                  1.595,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0842,                0.92681,                 2.0719,                0.75552,                0.88235,                0.89886,                0.73551,                0.79988,                0.78466,                  1.588,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1319,                0.94108,                 2.1474,                0.73797,                0.88235,                0.86539,                0.68633,                0.85541,                0.83233,                 1.6684,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0978,                0.96838,                 2.0703,                0.79527,                0.82353,                0.84999,                 0.6865,                 0.8204,                0.91008,                 1.6527,               0.001208,               0.001208,               0.001208
                     42,                 1.1115,                0.93227,                 2.0728,                0.79778,                0.92877,                0.90896,                0.75233,                0.77397,                0.78522,                 1.5439,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0872,                0.92457,                 2.0548,                0.75182,                0.82353,                0.85022,                0.72534,                0.74845,                0.87459,                 1.4922,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.085,                0.93055,                 2.0906,                0.79419,                0.94118,                0.84286,                0.67168,                0.83111,                0.91748,                 1.5553,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0564,                0.87828,                 2.0485,                0.71568,                0.94118,                0.87774,                  0.721,                0.79996,                0.76784,                 1.5086,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0219,                0.89628,                 2.0852,                0.73164,                      1,                0.90015,                0.70487,                0.82949,                0.80606,                 1.5377,               0.001109,               0.001109,               0.001109
                     47,                 1.0788,                0.91743,                 2.0347,                0.80868,                0.99478,                0.88127,                0.70368,                0.80264,                0.85575,                 1.5988,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0147,                0.87956,                 2.0051,                0.87289,                0.80864,                0.89381,                0.67336,                0.93923,                0.83205,                 1.6792,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0656,                0.91825,                 2.0976,                0.72426,                0.92754,                0.87999,                0.70594,                0.88432,                0.81284,                 1.6893,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0497,                0.89302,                 1.9992,                0.75694,                0.88235,                0.85301,                0.66215,                0.87898,                0.99921,                 1.6165,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.034,                 0.8886,                 2.0724,                0.73423,                0.97567,                0.87674,                0.65166,                0.91819,                0.81565,                 1.5896,                0.00101,                0.00101,                0.00101
                     52,                 1.0597,                0.90486,                 2.0526,                0.78543,                0.86199,                0.83925,                0.65342,                0.88906,                0.93236,                 1.6523,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0492,                0.88465,                 2.0875,                0.75009,                0.88235,                0.86407,                0.66787,                0.89086,                0.80902,                 1.6291,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0501,                0.89624,                 2.1006,                0.81624,                0.94118,                0.89778,                0.72013,                 0.8468,                0.75382,                 1.5558,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0035,                0.80344,                 1.9966,                0.76555,                0.94118,                 0.8882,                0.70203,                0.78743,                0.79795,                 1.5462,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.027,                0.86559,                 1.9868,                 0.7883,                0.94118,                0.90262,                0.73117,                0.82882,                0.74157,                 1.6206,               0.000911,               0.000911,               0.000911
