                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0489,                0.87664,                 2.1611,                0.77606,                0.96318,                0.89368,                0.69998,                0.93737,                0.79812,                 1.8391,                0.00123,                0.00123,                0.00123
                     37,                 1.0225,                0.84449,                 2.1365,                0.66645,                      1,                0.89154,                 0.6986,                0.87853,                0.78522,                 1.7392,               0.001208,               0.001208,               0.001208
                     38,                 1.0106,                0.83527,                 2.1662,                0.75338,                0.88889,                0.85933,                0.67759,                0.94012,                0.90337,                   1.65,               0.001186,               0.001186,               0.001186
                     39,                 1.0164,                0.83077,                 2.1357,                0.54222,                      1,                0.82175,                0.59375,                0.95273,                0.93816,                 1.7657,               0.001164,               0.001164,               0.001164
                     40,                 1.0131,                0.84546,                 2.0837,                0.76914,                0.77778,                 0.8713,                0.68446,                0.88506,                0.87294,                 1.7171,               0.001142,               0.001142,               0.001142
                     41,                0.99271,                0.80936,                 2.0869,                0.81747,                0.83333,                 0.8914,                0.70551,                0.90912,                0.81361,                 1.6644,                0.00112,                0.00112,                0.00112
                     42,                 1.0257,                0.85881,                 2.1651,                0.76448,                0.90212,                0.91373,                0.72683,                 0.8609,                0.77274,                 1.5978,               0.001098,               0.001098,               0.001098
                     43,                0.96774,                0.81083,                 2.0469,                0.79339,                0.94444,                0.89328,                0.68914,                0.83672,                0.78369,                 1.5889,               0.001076,               0.001076,               0.001076
                     44,                0.99577,                0.81537,                 2.1456,                0.76987,                0.94444,                0.90155,                0.70981,                0.81553,                0.73517,                 1.5977,               0.001054,               0.001054,               0.001054
                     45,                0.91535,                 0.7826,                  2.049,                0.78819,                0.88889,                0.89402,                0.72152,                0.78161,                0.85412,                 1.5822,               0.001032,               0.001032,               0.001032
                     46,                 0.9578,                0.82195,                 2.0338,                0.78161,                0.88889,                0.90901,                0.72093,                0.87945,                 0.8638,                 1.6802,                0.00101,                0.00101,                0.00101
                     47,                0.93957,                0.77212,                 2.0299,                0.73775,                0.93798,                 0.8822,                0.68885,                0.88719,                0.80273,                 1.7285,               0.000988,               0.000988,               0.000988
                     48,                0.96163,                0.80689,                 2.0564,                0.77355,                0.94444,                 0.9047,                0.74547,                0.81251,                0.74797,                 1.6962,               0.000966,               0.000966,               0.000966
                     49,                0.96202,                 0.7973,                 2.0429,                0.76358,                0.88889,                0.88923,                0.74299,                0.85306,                0.80868,                 1.6483,               0.000944,               0.000944,               0.000944
